"","Year","Phrase","Frequency","Corpus"
"1",1900,"productivity",7.79535326955738e-07,"eng_2019"
"2",1901,"productivity",7.65921026868455e-07,"eng_2019"
"3",1902,"productivity",7.56123853307145e-07,"eng_2019"
"4",1903,"productivity",7.81389287242616e-07,"eng_2019"
"5",1904,"productivity",7.76645216709377e-07,"eng_2019"
"6",1905,"productivity",8.62491560837952e-07,"eng_2019"
"7",1906,"productivity",1.01649864551031e-06,"eng_2019"
"8",1907,"productivity",1.10016445172992e-06,"eng_2019"
"9",1908,"productivity",1.21150286044472e-06,"eng_2019"
"10",1909,"productivity",1.32002337035634e-06,"eng_2019"
"11",1910,"productivity",1.57897928992108e-06,"eng_2019"
"12",1911,"productivity",1.66613475422699e-06,"eng_2019"
"13",1912,"productivity",1.76831200146158e-06,"eng_2019"
"14",1913,"productivity",1.8023794966991e-06,"eng_2019"
"15",1914,"productivity",1.90891637430468e-06,"eng_2019"
"16",1915,"productivity",2.06646776795034e-06,"eng_2019"
"17",1916,"productivity",2.29573450789238e-06,"eng_2019"
"18",1917,"productivity",2.35761925588512e-06,"eng_2019"
"19",1918,"productivity",2.60599024061646e-06,"eng_2019"
"20",1919,"productivity",2.76956354485135e-06,"eng_2019"
"21",1920,"productivity",3.0417102152569e-06,"eng_2019"
"22",1921,"productivity",3.26164026124128e-06,"eng_2019"
"23",1922,"productivity",3.52020570712089e-06,"eng_2019"
"24",1923,"productivity",3.65346941829817e-06,"eng_2019"
"25",1924,"productivity",4.03490379799872e-06,"eng_2019"
"26",1925,"productivity",4.29159841327679e-06,"eng_2019"
"27",1926,"productivity",4.60948155835337e-06,"eng_2019"
"28",1927,"productivity",4.74846787515811e-06,"eng_2019"
"29",1928,"productivity",4.97287536355933e-06,"eng_2019"
"30",1929,"productivity",5.11037192804257e-06,"eng_2019"
"31",1930,"productivity",5.45423076151305e-06,"eng_2019"
"32",1931,"productivity",5.50600413719492e-06,"eng_2019"
"33",1932,"productivity",5.62544560775028e-06,"eng_2019"
"34",1933,"productivity",5.85321692726991e-06,"eng_2019"
"35",1934,"productivity",6.30295088350457e-06,"eng_2019"
"36",1935,"productivity",6.7696415888869e-06,"eng_2019"
"37",1936,"productivity",7.19979379937286e-06,"eng_2019"
"38",1937,"productivity",7.64454801225968e-06,"eng_2019"
"39",1938,"productivity",7.96059449774995e-06,"eng_2019"
"40",1939,"productivity",8.3670837349408e-06,"eng_2019"
"41",1940,"productivity",8.57734046024104e-06,"eng_2019"
"42",1941,"productivity",8.74630729543112e-06,"eng_2019"
"43",1942,"productivity",8.99283570886057e-06,"eng_2019"
"44",1943,"productivity",9.44143552520213e-06,"eng_2019"
"45",1944,"productivity",9.98156454962944e-06,"eng_2019"
"46",1945,"productivity",1.07533864398387e-05,"eng_2019"
"47",1946,"productivity",1.16883571276308e-05,"eng_2019"
"48",1947,"productivity",1.27586821950639e-05,"eng_2019"
"49",1948,"productivity",1.39403819048312e-05,"eng_2019"
"50",1949,"productivity",1.51615596613348e-05,"eng_2019"
"51",1950,"productivity",1.62272716417127e-05,"eng_2019"
"52",1951,"productivity",1.69202156549935e-05,"eng_2019"
"53",1952,"productivity",1.80643333546219e-05,"eng_2019"
"54",1953,"productivity",1.87745569876695e-05,"eng_2019"
"55",1954,"productivity",1.94740407875673e-05,"eng_2019"
"56",1955,"productivity",2.02074414638836e-05,"eng_2019"
"57",1956,"productivity",2.08480596484151e-05,"eng_2019"
"58",1957,"productivity",2.14060135996468e-05,"eng_2019"
"59",1958,"productivity",2.23611854640434e-05,"eng_2019"
"60",1959,"productivity",2.26973840783882e-05,"eng_2019"
"61",1960,"productivity",2.33409123861098e-05,"eng_2019"
"62",1961,"productivity",2.40510505266554e-05,"eng_2019"
"63",1962,"productivity",2.41239085880807e-05,"eng_2019"
"64",1963,"productivity",2.48018022830365e-05,"eng_2019"
"65",1964,"productivity",2.50870050097417e-05,"eng_2019"
"66",1965,"productivity",2.50812102292132e-05,"eng_2019"
"67",1966,"productivity",2.51427203953166e-05,"eng_2019"
"68",1967,"productivity",2.52357908071385e-05,"eng_2019"
"69",1968,"productivity",2.56291550613241e-05,"eng_2019"
"70",1969,"productivity",2.66412737671219e-05,"eng_2019"
"71",1970,"productivity",2.69828002014297e-05,"eng_2019"
"72",1971,"productivity",2.78953128664788e-05,"eng_2019"
"73",1972,"productivity",2.93798506650741e-05,"eng_2019"
"74",1973,"productivity",3.08344731040831e-05,"eng_2019"
"75",1974,"productivity",3.23339419472697e-05,"eng_2019"
"76",1975,"productivity",3.35965097682284e-05,"eng_2019"
"77",1976,"productivity",3.50610163358007e-05,"eng_2019"
"78",1977,"productivity",3.72925865771582e-05,"eng_2019"
"79",1978,"productivity",3.93966464408939e-05,"eng_2019"
"80",1979,"productivity",4.07155145824488e-05,"eng_2019"
"81",1980,"productivity",4.1919677252216e-05,"eng_2019"
"82",1981,"productivity",4.29339727686186e-05,"eng_2019"
"83",1982,"productivity",4.34065540113287e-05,"eng_2019"
"84",1983,"productivity",4.35583663472374e-05,"eng_2019"
"85",1984,"productivity",4.25535269771769e-05,"eng_2019"
"86",1985,"productivity",4.14803445372464e-05,"eng_2019"
"87",1986,"productivity",4.03264680893959e-05,"eng_2019"
"88",1987,"productivity",3.94797389162704e-05,"eng_2019"
"89",1988,"productivity",3.84123476188896e-05,"eng_2019"
"90",1989,"productivity",3.76115011541905e-05,"eng_2019"
"91",1990,"productivity",3.65202816153344e-05,"eng_2019"
"92",1991,"productivity",3.58553843398113e-05,"eng_2019"
"93",1992,"productivity",3.50923177653125e-05,"eng_2019"
"94",1993,"productivity",3.4337402861898e-05,"eng_2019"
"95",1994,"productivity",3.35084150719922e-05,"eng_2019"
"96",1995,"productivity",3.27130245360812e-05,"eng_2019"
"97",1996,"productivity",3.17506297246187e-05,"eng_2019"
"98",1997,"productivity",3.08938776600241e-05,"eng_2019"
"99",1998,"productivity",3.00562522690078e-05,"eng_2019"
"100",1999,"productivity",2.93004650302464e-05,"eng_2019"
"101",2000,"productivity",2.8551215499257e-05,"eng_2019"
"102",2001,"productivity",2.77646600547346e-05,"eng_2019"
"103",2002,"productivity",2.72827123158744e-05,"eng_2019"
"104",2003,"productivity",2.67739742412232e-05,"eng_2019"
"105",2004,"productivity",2.62213751349399e-05,"eng_2019"
"106",2005,"productivity",2.51644165213552e-05,"eng_2019"
"107",2006,"productivity",2.41071886973389e-05,"eng_2019"
"108",2007,"productivity",2.3085857589779e-05,"eng_2019"
"109",2008,"productivity",2.17682092105471e-05,"eng_2019"
"110",2009,"productivity",2.06442834626484e-05,"eng_2019"
"111",2010,"productivity",1.98995029287679e-05,"eng_2019"
"112",2011,"productivity",1.87508685485227e-05,"eng_2019"
"113",2012,"productivity",1.8124087416384e-05,"eng_2019"
"114",2013,"productivity",1.79213431173204e-05,"eng_2019"
"115",2014,"productivity",1.75540062627988e-05,"eng_2019"
"116",2015,"productivity",1.74355271675657e-05,"eng_2019"
"117",2016,"productivity",1.73326513634363e-05,"eng_2019"
"118",2017,"productivity",1.69713572783318e-05,"eng_2019"
"119",2018,"productivity",1.71479339769576e-05,"eng_2019"
"120",2019,"productivity",1.72851287061349e-05,"eng_2019"
"121",1900,"innovation",2.80130643659504e-06,"eng_2019"
"122",1901,"innovation",2.77655631180096e-06,"eng_2019"
"123",1902,"innovation",2.78650785882443e-06,"eng_2019"
"124",1903,"innovation",2.79317802258967e-06,"eng_2019"
"125",1904,"innovation",2.78264948454827e-06,"eng_2019"
"126",1905,"innovation",2.7775492656344e-06,"eng_2019"
"127",1906,"innovation",2.78630821932373e-06,"eng_2019"
"128",1907,"innovation",2.80224302124615e-06,"eng_2019"
"129",1908,"innovation",2.83564093349144e-06,"eng_2019"
"130",1909,"innovation",2.83939776376688e-06,"eng_2019"
"131",1910,"innovation",2.81882262243016e-06,"eng_2019"
"132",1911,"innovation",2.80625886261987e-06,"eng_2019"
"133",1912,"innovation",2.79265935075403e-06,"eng_2019"
"134",1913,"innovation",2.75112506642472e-06,"eng_2019"
"135",1914,"innovation",2.69209129198446e-06,"eng_2019"
"136",1915,"innovation",2.64040116754976e-06,"eng_2019"
"137",1916,"innovation",2.60925025941106e-06,"eng_2019"
"138",1917,"innovation",2.60981073552102e-06,"eng_2019"
"139",1918,"innovation",2.61538795192402e-06,"eng_2019"
"140",1919,"innovation",2.63171052340892e-06,"eng_2019"
"141",1920,"innovation",2.65970606960764e-06,"eng_2019"
"142",1921,"innovation",2.68344716200123e-06,"eng_2019"
"143",1922,"innovation",2.70224680727032e-06,"eng_2019"
"144",1923,"innovation",2.73393789029797e-06,"eng_2019"
"145",1924,"innovation",2.77326525325147e-06,"eng_2019"
"146",1925,"innovation",2.79671394309844e-06,"eng_2019"
"147",1926,"innovation",2.80824065157503e-06,"eng_2019"
"148",1927,"innovation",2.84459425919132e-06,"eng_2019"
"149",1928,"innovation",2.87513713763993e-06,"eng_2019"
"150",1929,"innovation",2.90233320551384e-06,"eng_2019"
"151",1930,"innovation",2.90532316934592e-06,"eng_2019"
"152",1931,"innovation",2.92366124605386e-06,"eng_2019"
"153",1932,"innovation",2.92958985223127e-06,"eng_2019"
"154",1933,"innovation",2.95997327676949e-06,"eng_2019"
"155",1934,"innovation",2.97977190452262e-06,"eng_2019"
"156",1935,"innovation",2.98410473728187e-06,"eng_2019"
"157",1936,"innovation",3.045592685729e-06,"eng_2019"
"158",1937,"innovation",3.05405488428992e-06,"eng_2019"
"159",1938,"innovation",3.03324178016088e-06,"eng_2019"
"160",1939,"innovation",3.00043896978813e-06,"eng_2019"
"161",1940,"innovation",2.9381878903223e-06,"eng_2019"
"162",1941,"innovation",2.88965718807179e-06,"eng_2019"
"163",1942,"innovation",2.89160539068689e-06,"eng_2019"
"164",1943,"innovation",2.87049020438904e-06,"eng_2019"
"165",1944,"innovation",2.89716961430843e-06,"eng_2019"
"166",1945,"innovation",2.93031598630478e-06,"eng_2019"
"167",1946,"innovation",2.99233072707596e-06,"eng_2019"
"168",1947,"innovation",3.07100539690249e-06,"eng_2019"
"169",1948,"innovation",3.15234651030291e-06,"eng_2019"
"170",1949,"innovation",3.21809687063381e-06,"eng_2019"
"171",1950,"innovation",3.30599079591463e-06,"eng_2019"
"172",1951,"innovation",3.43736815011653e-06,"eng_2019"
"173",1952,"innovation",3.51609953343411e-06,"eng_2019"
"174",1953,"innovation",3.62420213865075e-06,"eng_2019"
"175",1954,"innovation",3.72632163297177e-06,"eng_2019"
"176",1955,"innovation",3.89660824241998e-06,"eng_2019"
"177",1956,"innovation",4.10325342922338e-06,"eng_2019"
"178",1957,"innovation",4.32751266998821e-06,"eng_2019"
"179",1958,"innovation",4.53716354188925e-06,"eng_2019"
"180",1959,"innovation",4.81811132755995e-06,"eng_2019"
"181",1960,"innovation",5.14226472400229e-06,"eng_2019"
"182",1961,"innovation",5.57549024701335e-06,"eng_2019"
"183",1962,"innovation",5.93783430044173e-06,"eng_2019"
"184",1963,"innovation",6.46623565054532e-06,"eng_2019"
"185",1964,"innovation",7.08547323873583e-06,"eng_2019"
"186",1965,"innovation",7.65349432185758e-06,"eng_2019"
"187",1966,"innovation",8.27718648516955e-06,"eng_2019"
"188",1967,"innovation",8.88717106915595e-06,"eng_2019"
"189",1968,"innovation",9.48251382786631e-06,"eng_2019"
"190",1969,"innovation",1.00304667804656e-05,"eng_2019"
"191",1970,"innovation",1.04268912244671e-05,"eng_2019"
"192",1971,"innovation",1.05860105707377e-05,"eng_2019"
"193",1972,"innovation",1.08318702457057e-05,"eng_2019"
"194",1973,"innovation",1.09534249921645e-05,"eng_2019"
"195",1974,"innovation",1.10924348908676e-05,"eng_2019"
"196",1975,"innovation",1.12932206580548e-05,"eng_2019"
"197",1976,"innovation",1.16237075157447e-05,"eng_2019"
"198",1977,"innovation",1.21031442696611e-05,"eng_2019"
"199",1978,"innovation",1.25556592008382e-05,"eng_2019"
"200",1979,"innovation",1.28449363338794e-05,"eng_2019"
"201",1980,"innovation",1.31234583022888e-05,"eng_2019"
"202",1981,"innovation",1.33556846516772e-05,"eng_2019"
"203",1982,"innovation",1.34077489357359e-05,"eng_2019"
"204",1983,"innovation",1.34133489544703e-05,"eng_2019"
"205",1984,"innovation",1.32057508121112e-05,"eng_2019"
"206",1985,"innovation",1.31641988575991e-05,"eng_2019"
"207",1986,"innovation",1.30606689968512e-05,"eng_2019"
"208",1987,"innovation",1.31821897022227e-05,"eng_2019"
"209",1988,"innovation",1.32489237460374e-05,"eng_2019"
"210",1989,"innovation",1.33498180210674e-05,"eng_2019"
"211",1990,"innovation",1.33741289443736e-05,"eng_2019"
"212",1991,"innovation",1.35671853058739e-05,"eng_2019"
"213",1992,"innovation",1.36696631411074e-05,"eng_2019"
"214",1993,"innovation",1.40363927130238e-05,"eng_2019"
"215",1994,"innovation",1.43201729900154e-05,"eng_2019"
"216",1995,"innovation",1.47660110607311e-05,"eng_2019"
"217",1996,"innovation",1.52542773191401e-05,"eng_2019"
"218",1997,"innovation",1.59343463954948e-05,"eng_2019"
"219",1998,"innovation",1.65161357342315e-05,"eng_2019"
"220",1999,"innovation",1.7313998926381e-05,"eng_2019"
"221",2000,"innovation",1.80150213314586e-05,"eng_2019"
"222",2001,"innovation",1.85230302512147e-05,"eng_2019"
"223",2002,"innovation",1.94309538658542e-05,"eng_2019"
"224",2003,"innovation",2.02842033364245e-05,"eng_2019"
"225",2004,"innovation",2.10119396797381e-05,"eng_2019"
"226",2005,"innovation",2.18003489343183e-05,"eng_2019"
"227",2006,"innovation",2.23818156622916e-05,"eng_2019"
"228",2007,"innovation",2.33522834085826e-05,"eng_2019"
"229",2008,"innovation",2.42457070791196e-05,"eng_2019"
"230",2009,"innovation",2.45201437272564e-05,"eng_2019"
"231",2010,"innovation",2.49774555933462e-05,"eng_2019"
"232",2011,"innovation",2.51533646015949e-05,"eng_2019"
"233",2012,"innovation",2.55326176556991e-05,"eng_2019"
"234",2013,"innovation",2.64593171388177e-05,"eng_2019"
"235",2014,"innovation",2.65549110086535e-05,"eng_2019"
"236",2015,"innovation",2.67786825653665e-05,"eng_2019"
"237",2016,"innovation",2.76696441038179e-05,"eng_2019"
"238",2017,"innovation",2.79154064628528e-05,"eng_2019"
"239",2018,"innovation",2.85905771306716e-05,"eng_2019"
"240",2019,"innovation",2.90438756564981e-05,"eng_2019"
