Rank,1880,1900,1920,1940,1960,1980,2000 
1,Thread,Thread,File,File,Document,Identify,Develop 
2,Stretch,Stitch,Distribute,Bill,Schedule,Document,Determine 
3,Interfere,Telephone,Record,Take,File,Advise,Analyze 
4,Hand,Sew,Notice,Compile,Record,Concern,Factor 
5,Ravel,Hand,Telephone,Distribute,Distribute,Report,Review 
6,Sew,Assist,Bill,Pay,Compile,Schedule,Confer 
7,Braid,Visit,Envelope,Letter,Notice,Develop,Advise 
8,Visit,Describe,Document,Notice,Identify,Analyze,Report 
9,Receive,Number,Learn,Record,Send,Determine,Concern 
10,Sack,Stamp,Number,Send,Notify,Notify,Plan